Class,Age,Sex,Fate
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,died
first,adult,female,died
first,adult,female,died
first,adult,female,died
first,child,male,survived
first,child,male,survived
first,child,male,survived
first,child,male,survived
first,child,male,survived
first,child,female,survived
second,adult,male,survived
second,adult,male,survived
second,adult,male,survived
second,adult,male,survived
second,adult,male,survived
second,adult,male,survived
second,adult,male,survived
second,adult,male,survived
second,adult,male,survived
second,adult,male,survived
second,adult,male,survived
second,adult,male,survived
second,adult,male,survived
second,adult,male,survived
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,male,died
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,survived
second,adult,female,died
second,adult,female,died
second,adult,female,died
second,adult,female,died
second,adult,female,died
second,adult,female,died
second,adult,female,died
second,adult,female,died
second,adult,female,died
second,adult,female,died
second,adult,female,died
second,adult,female,died
second,adult,female,died
second,child,male,survived
second,child,male,survived
second,child,male,survived
second,child,male,survived
second,child,male,survived
second,child,male,survived
second,child,male,survived
second,child,male,survived
second,child,male,survived
second,child,male,survived
second,child,male,survived
second,child,female,survived
second,child,female,survived
second,child,female,survived
second,child,female,survived
second,child,female,survived
second,child,female,survived
second,child,female,survived
second,child,female,survived
second,child,female,survived
second,child,female,survived
second,child,female,survived
second,child,female,survived
second,child,female,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,survived
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,male,died
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,survived
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,adult,female,died
third,child,male,survived
third,child,male,survived
third,child,male,survived
third,child,male,survived
third,child,male,survived
third,child,male,survived
third,child,male,survived
third,child,male,survived
third,child,male,survived
third,child,male,survived
third,child,male,survived
third,child,male,survived
third,child,male,survived
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,male,died
third,child,female,survived
third,child,female,survived
third,child,female,survived
third,child,female,survived
third,child,female,survived
third,child,female,survived
third,child,female,survived
third,child,female,survived
third,child,female,survived
third,child,female,survived
third,child,female,survived
third,child,female,survived
third,child,female,survived
third,child,female,survived
third,child,female,died
third,child,female,died
third,child,female,died
third,child,female,died
third,child,female,died
third,child,female,died
third,child,female,died
third,child,female,died
third,child,female,died
third,child,female,died
third,child,female,died
third,child,female,died
third,child,female,died
third,child,female,died
third,child,female,died
third,child,female,died
third,child,female,died
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
